sentence;class
На первых встречах мы ввели куратора в курс дела, а далее уже обращались за помощью, когда возникали вопросы;0
 Оценки ролей и вкладов по каждому участнику;0
Саодат Мирзаева успешно разработала интерфейс приложения, а Айжан Тургунбаева реализовала работу с базой данных;0
Иванов Дмитрий работал над теоретической частью и хорошо изучили предметную область выбранной тематики, также внес свой вклад в разработку серверной части приложения;0
Работа в команде была распределена равномерно для всех участников команды, каждый из которых считает, что цель проекта выполнена, все поработали плодотворно;0
Саодат Мирзаева;0
Думаю, я успешно справилась с поставленными задачами в срок;0
Работу выполнила качественно, итогами полученного продукта довольна;0
Считаю, что команда работала слаженно, все участники были вовлечены в процесс создания приложения ;0
Айжан Тургунбаева;0
Я считаю, что в течение всей практики ответственно выполняла поставленные задачи;0
Все возложенные задачи выполнила вовремя;0
Сплоченностью команды и итогами работы довольна ;0
Дмитрий Иванов;0
Производственная практика прошла очень продуктивно, итоги соответствуют поставленным задачам;0
Я доволен как своей работой, так и вкладом остальных участников команды ;0
СПИСОК ЛИТЕРАТУРЫ;0
Мартишин С.А;0
Базы данных;0
Практическое применение СУБД SQL и NoSOL-типа для применения проектирования информационных систем / С.А;0
Мартишин, В.Л;0
Симонов, М.В;0
Храпченко Глава ;0
Практическое применение СУБД SQL-типа на примере MariaDB;0
ФОРУМ, НИЦ ИНФРА-М, ;0
#ИМЯ?;0
непосредственный;0
Кириченко А. В. HTML+CSS;0
"ОСНОВЫ СОВРЕМЕННОГО WEB-ДИЗАЙНА / А. В. Кириченко, А. А. Хрусталев - Спб.. ""Наука и Техника"",  г";0
 с;0
#ИМЯ?;0
Сильвио Морето;0
Bootstrap в примерах;0
/ Пер;0
с англ;0
Рагимов Р. Н;0
/ Науч;0
ред;0
Киселев А. Н.   М.. ДМК Пресс, ;0
 с;0
Silvio Moreto;0
Bootstrap  Dy Example;0
Birmingham;0
Packt Publishing, ;0
p.;0
#ИМЯ?;0
Герберт Шилдт  Java;0
Полное руководство / Г. Шилдт, ;0
с;0
Текст непосредственный;0
Джон Дакетт - HTML и CSS;0
Разработка и дизайн веб-сайтов, Эксмо, ,  стр;0
ориг;0
название;0
"""HTML и CSS";0
"Design and Build Websites"", John Wiley & Sons - Текст непосредственный";0
Хеник Бен HTML и CSS Путь к совершенству / Б. Хеник;0
- СПб.. Питер, ;0
#ИМЯ?;0
Драйвер СУБД Microsoft SQL Server для PHP;0
Текст;0
электронный;0
//php.net;0
официальный сайт - URL;0
https.//www.php.net/manual/ru/book.sqlsrv.php ;0
ЗАКЛЮЧЕНИЕ;0
