sentence;class
Работа с куратором, а именно Артёмом Абрамовым, позволила нам скорректировать цели и задачи проекта, определиться с выбором технологий;0
 Работа с научным руководителем;0
На протяжении всей технологической практики участники проекта, при возникновении больших трудностей, обращались за помощью к своему научному руководителю;0
В частности, обсуждались промежуточные и итоговые реализации программного продукта;0
Был получено много полезных отзывов и предложений;0
Также научным руководителем была оказана несравненная помощь в оформлении научной статьи и прочих отчётных документов по всем правилам;0
 Проблемы при работе над проектом;0
У языка JavaScript много особенностей , вызывавших, в силу нашей неопытности, ошибки выполнения программы;0
В силу специфики языка и размеров проекта найти причину неисправности бывало сложно;0
Со временем, эта проблема была преодолена совместными тестированиями и исправлениями программы;0
В силу того, что каждый участник проекта писал свой код в удобном ему стиле, возникали трудности во взаимодействии с функциями других людей;0
Проблему можно было бы решить, если бы каждый участник писал модули самостоятельно и не взаимодействовал с кодом других людей;0
Однако в рамках нашего проекта это было, потому что взаимосвязь модулей была довольно высока;0
Поэтому со временем нами было принято решение оставлять в коде комментарии с пояснением его функционала;0
При увеличении в проекте реализованного количества модулей возникли трудности с архитектурой проекта;0
Из-за её запутанности и неочевидности  процесс написания кода замедлялся, росла раздражительность участников проекта;0
В какой-то момент совместными усилиями пришлось исправлять её, правя при этом зависимости;0
Хоть некоторые проблемы после этого всё-равно остались, их стало в разы меньше;0
ЗАКЛЮЧЕНИЕ;0
