sentence;class
КАЛЕНДАРНЫЙ ПЛАН РАБОТ;0
Срок;0
Содержание;0
Форма отчёта;0
 Определения предметной области и тематики проекта;0
Параграф отчета по практике, приложение ;0
 Обзор учебной и научной литературы по теме проекта;0
Параграф отчета по практике;0
Изучение метрики TF-IDF;1
Параграф отчета по практике;0
Выгрузка вакансии из сообщества и подготовка обучающей выборки;1
Параграф отчета по практике;0
 Изучение теоремы Байеса;1
Текст доклада и презентация;0
 Создание базы данных;1
Параграф отчета по практике;0
 Разработка и обучение байесовского классификатора;1
Код;0
 Реализация интерфейса веб-сайта;1
Параграф отчета по практике;0
 Сравнение результатов работы байесовского классификатора и многослойного перцептрона;1
Параграф отчета по практике;0
Доработка веб-сайта;1
Параграф отчета по практике;0
Подготовка доклада и презентации для защиты отчёта по практике на конференции;0
Текст доклада и презентация;0
 Подготовка отчетных документов по результатам практики;0
Текст отчета, приложение ;0
ЗАКЛЮЧЕНИЕ;0
