sentence;class
Скрипт для ИС  Modeus ;0
Завершение изучения теоретической базы для работы с библиотекой Selenium на языке программирования Python;1
К. В. Кочеткова;0
Рекомендательная система;0
Изучение теоритической базы для работы с инструментарием для разработчиков VK API;1
В. А. Бородина;0
Скрипт для ИС  Modeus ;0
Завершение изучения библиотеки Selenium на Python на практике в решении базовых задач;1
К. В. Кочеткова;0
Рекомендательная система;0
Выполнение группировки тематик сообществ, публичных страниц VK в обобщенные тематики для дальнейшей работы с ними;1
С. А. Коровин;0
Скрипт поиска в VK;0
Изучение теоритической базы для работы с инструментарием для разработчиков VK API;1
В. А. Бородина;0
Скрипт для ИС  Modeus ;0
Реализация функции авторизации в ИС  Modeus  и перехода в необходимый раздел;1
В. А. Бородина;0
Скрипт для ИС  Modeus ;0
Разработка функции получения основной информации об элективных дисциплинах;1
К. В. Кочеткова;0
Рекомендательная система;0
Написание функции для вычисления долей обобщенных тематик подписок конкретного пользователя VK;1
С. А. Коровин;0
Скрипт поиска в VK;0
Завершение разработки функции поиска среди подписчиков сообществ ТюмГУ в VK;1
К. В. Кочеткова;0
Рекомендательная система;0
Тестирование написанной функции на небольшом объёме тестовых данных;1
В. А. Бородина;0
Скрипт для ИС  Modeus ;0
Разработка функции выгрузки студентов, посещавших тот или иной элективный курс;1
В. А. Бородина;0
Скрипт для ИС  Modeus ;0
Реализация поиска новых элективов и необходимой информации о них;1
К. В. Кочеткова;0
Рекомендательная система;0
Изучение теории по иерархическому кластерному анализу и методов из библиотеки scipy для разработки рекомендательной системы;1
В. А. Бородина;0
Скрипт для ИС  Modeus ;0
Тестирование написанного решения на малом объёме данных и выполнение отладки;1
К. А. Слободяник;0
Чат-бот VK;0
Изучение теоритической базы для работы с инструментарием для разработчиков VK API;1
С. А. Коровин;0
Скрипт поиска в VK;0
Завершение разработки функции поиска с помощью глобального поиска социальной сети  ВКонтакте ;1
Все члены команды;0
Работа с БД;0
Проработка структуры БД и необходимых данных для работы системы рекомендаций;1
В. А. Бородина;0
Скрипт для ИС  Modeus ;0
Тестирование решения на среднем объёме данных и выставление корректных таймингов;1
К. А. Слободяник;0
Чат-бот VK;0
Изучение теоретической базы для работы с разделами VK API для разработки чат-бота;1
К. В. Кочеткова;0
Рекомендательная система;0
Написание функции для кластеризации по подпискам VK, проверка работоспособности на вычисленных долях тестовой выборки;1
С. А. Коровин;0
Административная;0
Заполнение документации контрольной точки  Подготовка данных для проекта ;0
С. А. Коровин;0
Административная;0
Заполнение документации контрольной точки  Выбор метода решения задачи ;0
С. А. Коровин;0
Скрипт поиска в VK;0
Создание объединённого скрипта для поиска студентов по ФИ в VK и тестирование на малом объёме данных;1
Все члены команды;0
Чат-бот VK;0
Проработка логики работы программного продукта чат-бота VK;1
В. А. Бородина;0
Скрипт для ИС  Modeus ;0
Выгрузка всех необходимых данных об элективных дисциплинах и студентах из ИС  Modeus ;1
К. В. Кочеткова;0
Рекомендательная система;0
Оптимизация функции, вычисляющего доли обобщенных тематик, для сокращения временных затрат;1
К. А. Слободяник;0
Чат-бот VK;0
Тестирование возможностей в разработке чат-ботов в соцсети  ВКонтакте  на базе созданного закрытого сообщества;1
К. А. Слободяник;0
Работа с БД;0
Написание скриптов для создания таблиц БД;1
К. В. Кочеткова;0
Рекомендательная система;0
Изучение теории по классификации методом k-ближайших соседей и классификатора из библиотеки sklearn;1
К. А. Слободяник;0
Чат-бот VK;0
Копирайтинг текстовых блоков для чат-бота;1
С. А. Коровин;0
Скрипт поиска в VK;0
Доработка и тестирование решения для работы с БД;1
В. А. Бородина;0
Скрипт для ИС  Modeus ;0
Написание функций для выгрузки собранных данных из файлов в БД;1
В. А. Бородина;0
Скрипт для ИС  Modeus ;0
Выгрузка всех данных в БД и передача для поиска профилей в VK;1
К. А. Слободяник;0
Чат-бот VK;0
Создание частного сообщества для проекта;1
К. В. Кочеткова;0
Рекомендательная система;0
Написание функции для определения класса нового студента;1
С. А. Коровин;0
Скрипт поиска в VK;0
Финальный запуск скрипта и запись всех необходимых данных в БД для дальнейшей работы;1
К. А. Слободяник;0
Чат-бот VK;0
Реализация основной логики работы чат-бота для ветки  абитуриент ;1
К. В. Кочеткова;0
Рекомендательная система;0
Тестирование путём деления данных, полученных в результате кластеризации, на обучающую и тестовую выборки;1
К. А. Слободяник;0
Чат-бот VK;0
Реализация основной логики работы чат-бота для ветки  студент ;1
С. А. Коровин;0
Чат-бот VK;0
Разработка дизайна сообщества  ВКонтакте  проекта, созданного для размещения чат-бота;1
К. В. Кочеткова;0
Рекомендательная система;0
Доработка рекомендательной системы для работы с данными из БД;1
С. А. Коровин;0
Чат-бот VK;0
Копирайтинг постов, описания и иных текстовых блоков для сообщества проекта в VK;1
К. В. Кочеткова;0
Рекомендательная система;0
Реализация получения элективов из БД, которые будут предложены пользователю программного продукта;1
К. А. Слободяник;0
Чат-бот VK;0
Интеграция в программный код чат-бота рекомендательный системы;1
С. А. Коровин;0
Тестирование/Обратная связь;0
Разработка формы обратной связи по программному продукту проекта;1
К. А. Слободяник;0
Чат-бот VK;0
Правка текстовых сообщений бота, доработка неисправностей;1
С. А. Коровин;0
Административная;0
Создание презентационных материалов и проработка со всеми членами команды выступления на конференции молодых учёных  МИМ- ;0
К. В. Кочеткова;0
Рекомендательная система;0
Доработка рекомендательной системы после проведения бета-тестов;1
К. А. Слободяник;0
Чат-бот VK;0
Проверка работы чат-бота при локальном запуске скрипта с остальными членами команды;1
Все члены команды;0
Административная;0
Проработка выступления на конференции молодых учёных  МИМ- ;0
Все члены команды;0
Административная;0
Выступление на конференции молодых учёных  МИМ- ;0
К. В. Кочеткова;0
Административная;0
Описание разработанных частей для отчётной документации по проектно-технологической практике;0
С. А. Коровин;0
Административная;0
Написание научной публикации для сборника конференции  МИМ- ;0
В. А. Бородина;0
Административная;0
Помощь в написании научной публикации для сборника конференции  МИМ- ;0
К. А. Слободяник;0
Чат-бот VK;0
Исправление возникших ошибок при работе чат-бота VK;1
С. А. Коровин;0
Чат-бот VK;0
Загрузка чат-бота на частный сервер на период массового запуска;1
К. А. Слободяник;0
Административная;0
Описание разработанных частей для отчётной документации по проектно-технологической практике;0
С. А. Коровин;0
Тестирование/Обратная связь;0
Запуск небольшого бета-тестирования;1
С. А. Коровин;0
Административная;0
Завершение заполнения и подготовки к сдаче всей отчётной документации по проектно-технологической практике;0
В. А. Бородина;0
Административная;0
Активное участие в заполнении и подготовке к сдаче всей отчётной документации по проектно-технологической практике;0
С. А. Коровин;0
Административная;0
Подготовка к массовому запуску на период выборочной кампании элективных курсов на весну  ;0
РАБОТА С КУРАТОРАМИ ПРОЕКТА;0
В ходе проектно-технологической практики к каждой команде были прикреплены кураторы   студенты ФГАОУ ВО  Тюменский государственный университет   курса направления  Математическое обеспечение и администрирование информационных систем ;0
Наша проектная команда работала с двумя студентами;0
Вешкурцевой Анной Александровной и Алексеенко Андреем Александровичем;0
За период работы с кураторами состоялись  очные встречи, в рамках которых были заданы вопросы касаемо учебных пособий и иной литературы для описание теоретической части отчётной документации, загрузки программного кода чат-бота на сервер;0
Также были проведены тесты рекомендательной системы на их профилях в соцсети  ВКонтакте ;0
Кураторы всегда были на связи в общей беседе проектной команды, были рады ответить на возникающие вопросы и поделиться собственным опытом в командной IT разработке проектов;0
ВСТРЕЧИ С НАУЧНЫМ РУКОВОДИТЕЛЕМ;0
 В рамках проектно-технологической практики состоялись более  встреч с научным руководителем проекта Аврискиным Михаилом Владимировичем   ассистентом кафедры программного обеспечения ФГАОУ ВО  Тюменский государственный университет ;0
Календарный график встреч представлен в таблице ;0
Таблица ;0
Календарный график встреч с научным руководителем;0
Дата встречи;0
Участники;0
Краткое описание встречи;0
Все члены команды;0
Первичная встреча для обсуждения предварительных идей по проекту;0
Все члены команды;0
Обсуждение и конечная постановка темы проектной работы;0
Все члены команды;0
Обсуждение презентационных материалов и выступления перед защитой темы проекта;0
Все члены команды;0
Встреча в рамках пары  Выбор темы , защита темы проекта;0
В. А. Бородина;0
Рекомендация библиотек для разработки скриптов для получения данных;0
С. А. Коровин;0
Согласование документов для контрольной точки  Постановка данных для проекта  и  Выбор модели решения ;0
Все члены команды;0
Встреча в рамках пары  Разработка алгоритма решения задачи ;0
Демонстрация промежуточных результатов работы и написанного ПО;0
В. А. Бородина,;0
С. А. Коровин,;0
К. А. Слободяник;0
Обсуждение необходимости использования сервера для работы программного продукта и детали работы;0
В. А. Бородина,;0
С. А. Коровин;0
Уточнение деталей по работе финального программного продукта по проекту;0
Все члены команды;0
Обсуждение доклада на Всероссийской конференции молодых ученых  Математическое и информационное моделирование  ;0
В. А. Бородина,;0
С. А. Коровин;0
Проработка научной публикации по результатам конференции  МИМ- ;0
С. А. Коровин;0
Обсуждение и ответы на вопросы, касающиеся заполнения отчётной документации;0
Все члены команды;0
Согласование и подпись отчётных документов проектно-технологической практики;0
 На встречах обсуждались возникающие вопросы по ходу разработки ПО в рамках проекта, например, способы выгрузки данных из ИС  Modeus  или выбор сервиса для загрузки чат-бота, прорабатывалась необходимая документация, научная публикация в рамках конференции молодых учёных  Математическое и информационное моделирование  , обсуждались выступления, происходила проверка процесса работы и программного кода в рамках контрольных точек проектно-технологической практики;0
 Каждая встреча с научным руководителем проходила продуктивно, были получены ответы на все возникающие вопросы и предложены решения для существующих проблем, появляющихся в процессе работы над проектом;0
СПЕЦИФИКА КОМАНДНОЙ РАБОТЫ НАД IT ПРОЕКТОМ И ОЦЕНКА ВКЛАДА КАЖДОГО ЕЁ УЧАСТНИКА;0
 Во время выполнения тех или иных задач в работе над IT проектом у каждого члена команды периодически возникали некоторые трудности, каждая из которых решалась при общении с другими членами командами, научным руководителем, кураторами проекта;0
 Командная работа над IT проектом позволяет более эффективно подходить к решению поставленной задачи, работать параллельно или совместно, помогая друг другу решать возникающие по ходу продумывании концепции и/или разработки той или иной части проекта проблемы;0
Такая работа позволяет развивать дисциплинированность и ответственность, так как успех каждого члена команды прямо зависит от всех её участников;0
 Работа в команде происходила слаженно, задачи были распределены равномерно среди всех её участников, каждый внёс свой вклад в развитие проекта;0
Коровин Сергей Александрович взял на себя роль лидера команды, распределял и контролировал выполнение задач, прорабатывал публичные выступления и подготавливал презентационные материалы для них, занимался разработкой визуального сопровождения проекта , эффективно выполнял большой пул административных задач, разрабатывал скрипт для поиска студентов в соцсети  ВКонтакте  и выгружал программный код чат-бота на частный сервер, поэтому заслуживает оценку  отлично ;0
Бородина Валерия Александровна занималась изучением некоторых разделов внутренней системы управления вузом  Modeus  и разработкой скрипта для выгрузки оттуда всей необходимой информации, активно принимала в заполнении отчётной документации и написании научной публикации, поэтому заслуживает оценку  отлично ;0
Кочеткова Кира Вячеславовна изучила множество теоретической информации по различным методам машинного обучения и подходов к созданию рекомендательных систем, реализовала ядро проекта   рекомендательную систему, провела первичные тесты, поэтому заслуживает оценку  отлично ;0
Слободяник Кристина Александровна изучила возможности создания интерактивных чат-ботов в соцсети  ВКонтакте  и реализовала интерфейс для взаимодействия с созданной рекомендательной системой на базе данной соцсети, поэтому заслуживает оценку  отлично ;0
ЗАКЛЮЧЕНИЕ;0
